first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct
Kareem,Abdul-Jabbar,LAL,1986,78,31:17:00,7.18,12.73,0.01,0.04,3.14,4.4,1.95,4.76,6.71,2.6,0.63,1.24,2.38,3.14,17.51,0.564,0.333,0.714
Rolando,Blackman,DAL,1986,80,34:28:00,7.83,15.79,0.06,0.19,5.23,5.93,1.2,2.28,3.48,3.4,0.8,0.23,2.18,1.78,20.94,0.496,0.333,0.882
Sleepy,Floyd,GSW,1986,82,37:21:00,6.13,12.56,0.89,2.3,5.63,6.55,0.68,2.59,3.27,10.34,1.8,0.22,3.41,2.43,18.79,0.488,0.386,0.86
Joe,"Barry,Carroll",GSW,1986,81,33:34:00,8.52,18.04,0,0,4.2,5.33,2.14,5.14,7.27,2.64,1.14,1.52,2.79,3.15,21.23,0.472,0,0.787
Mark,Aguirre,DAL,1986,80,33:17:00,9.84,19.88,0.66,1.88,5.36,6.96,2.26,3.08,5.34,3.18,1.05,0.41,2.71,3.04,25.7,0.495,0.353,0.77
Walter,Davis,PHO,1986,79,33:29:00,9.86,19.06,0.27,1.03,3.65,4.23,1.14,1.95,3.09,4.61,1.22,0.06,2.86,2.33,23.63,0.517,0.259,0.862
Alex,English,DEN,1986,82,37:30:00,11.77,23.43,0.05,0.18,5.01,5.94,1.83,2.4,4.23,5.11,0.87,0.26,2.59,2.63,28.6,0.502,0.267,0.844
Moses,Malone,WSB,1986,73,33:55:00,8.15,17.96,0,0.15,7.78,9.45,4.66,6.63,11.29,1.66,0.81,1.26,2.77,1.9,24.08,0.454,0,0.823
Larry,Bird,BOS,1986,74,40:36:00,10.62,20.23,1.22,3.04,5.59,6.15,1.68,7.54,9.22,7.65,1.82,0.95,3.24,2.5,28.05,0.525,0.4,0.91
Julius,Erving,PHI,1986,60,31:58:00,6.67,14.17,0.23,0.88,3.18,3.92,1.92,2.48,4.4,3.18,1.27,1.57,2.63,2.28,16.75,0.471,0.264,0.813
Michael,Jordan,CHI,1986,82,40:00:00,13.39,27.79,0.15,0.8,10.16,11.85,2.02,3.22,5.24,4.6,2.88,1.52,3.32,2.89,37.09,0.482,0.182,0.857
Dominique,Wilkins,ATL,1986,79,37:34:00,10.48,22.62,0.39,1.35,7.68,9.39,2.65,3.58,6.23,3.3,1.48,0.66,2.72,1.89,29.04,0.463,0.29,0.818
Kevin,McHale,BOS,1986,77,39:46:00,10.26,16.97,0,0.05,5.55,6.64,3.21,6.7,9.91,2.57,0.49,2.23,2.56,3.12,26.06,0.604,0,0.836
Isiah,Thomas,DET,1986,81,37:11:00,7.73,16.7,0.23,1.21,4.94,6.43,1.01,2.93,3.94,10.04,1.89,0.26,4.23,3.1,20.63,0.463,0.194,0.768
Charles,Barkley,PHI,1986,68,40:17:00,8.19,13.78,0.31,1.53,6.31,8.29,5.74,8.88,14.62,4.87,1.75,1.53,4.74,3.71,23,0.594,0.202,0.761
Jeff,Malone,WSB,1986,80,34:32:00,8.61,18.86,0.05,0.33,4.73,5.34,0.63,2.1,2.73,3.73,0.94,0.16,2.28,1.93,22,0.457,0.154,0.885
Bill,Laimbeer,DET,1986,82,34:48:00,6.17,12.32,0.07,0.26,2.99,3.34,2.96,8.68,11.65,1.84,0.88,0.84,1.46,3.45,15.4,0.501,0.286,0.894
Maurice,Cheeks,PHI,1986,68,38:35:00,6.1,11.59,0.06,0.25,3.34,4.29,0.69,2.47,3.16,7.91,2.65,0.22,2.54,1.6,15.6,0.527,0.235,0.777
Robert,Parish,BOS,1986,80,37:26:00,7.35,13.21,0,0.01,2.85,3.86,3.18,7.46,10.64,2.15,0.8,1.8,2.39,3.33,17.55,0.556,0,0.738
Larry,Bird,BOS,1987,76,39:00:00,11.59,22,1.29,3.12,5.46,5.96,1.42,7.83,9.25,6.14,1.64,0.75,2.8,2.07,29.93,0.527,0.414,0.916
Dominique,Wilkins,ATL,1987,78,37:47:00,11.65,25.09,0.49,1.65,6.94,8.4,2.71,3.73,6.44,2.87,1.32,0.6,2.79,2.08,30.73,0.464,0.295,0.826
Michael,Jordan,CHI,1987,82,40:22:00,13.04,24.37,0.09,0.65,8.82,10.49,1.7,3.78,5.48,5.91,3.16,1.6,3.07,3.29,34.98,0.535,0.132,0.841
Isiah,Thomas,DET,1987,81,36:08:00,7.67,16.56,0.37,1.2,3.77,4.86,0.79,2.64,3.43,8.37,1.74,0.21,3.37,2.68,19.47,0.463,0.309,0.774
Moses,Malone,WSB,1987,79,34:04:00,6.72,13.8,0.03,0.09,6.87,8.72,4.71,6.48,11.19,1.42,0.75,0.91,3.15,2.03,20.34,0.487,0.286,0.788
Danny,Ainge,BOS,1987,81,37:15:00,5.95,12.12,1.83,4.41,1.95,2.22,0.73,2.35,3.07,6.21,1.42,0.21,1.89,2.51,15.68,0.491,0.415,0.878
Patrick,Ewing,NYK,1987,82,31:02:00,8,14.43,0,0.04,4.16,5.8,2.99,5.26,8.24,1.52,1.27,2.99,3.5,4.05,20.16,0.555,0,0.716
Doc,Rivers,ATL,1987,80,31:16:00,5.04,11.13,0.11,0.41,3.99,5.26,1.04,3.54,4.58,9.34,1.75,0.51,2.63,3.4,14.18,0.453,0.273,0.758
Brad,Daugherty,CLE,1987,79,37:25:00,6.97,13.68,0,0.03,4.78,6.68,1.91,6.51,8.42,4.22,0.61,0.71,3.38,2.97,18.73,0.51,0,0.716
Charles,Barkley,PHI,1987,80,39:37:00,9.41,16.04,0.55,1.96,8.93,11.89,4.81,7.08,11.89,3.18,1.25,1.29,3.8,3.48,28.3,0.587,0.28,0.751
Kevin,McHale,BOS,1987,64,37:20:00,8.59,14.23,0,0,5.41,6.78,2.48,5.89,8.38,2.67,0.42,1.44,2.2,2.8,22.59,0.604,0,0.797
Maurice,Cheeks,PHI,1987,79,36:20:00,5.42,10.95,0.04,0.28,2.87,3.48,0.75,2.46,3.2,8.04,2.11,0.28,2,1.47,13.75,0.495,0.136,0.825
Magic,Johnson,LAL,1987,72,36:37:00,6.81,13.83,0.15,0.78,5.79,6.79,1.22,5.01,6.24,11.92,1.58,0.18,3.74,2.04,19.56,0.492,0.196,0.853
Karl,Malone,UTA,1987,82,39:00:00,10.46,20.12,0,0.06,6.73,9.62,3.38,8.65,12.02,2.43,1.43,0.61,3.96,3.61,27.66,0.52,0,0.7
Lafayette,Lever,DEN,1987,82,37:19:00,7.84,16.59,0.15,0.7,3.02,3.85,2.48,5.63,8.11,7.7,2.72,0.26,2.22,2.61,18.85,0.473,0.211,0.785
Hakeem,Olajuwon,HOU,1987,79,35:45:00,9.01,17.53,0,0.05,4.82,6.94,3.82,8.32,12.14,2.06,2.05,2.71,3.08,4.1,22.85,0.514,0,0.695
Alex,English,DEN,1987,80,35:13:00,10.54,21.3,0,0.08,3.93,4.74,2.08,2.59,4.66,4.71,0.88,0.29,2.26,2.41,25,0.495,0,0.828
Clyde,Drexler,POR,1987,81,37:46:00,10.48,20.73,0.14,0.64,5.88,7.25,3.22,3.36,6.58,5.77,2.51,0.64,2.91,3.09,26.98,0.506,0.212,0.811
Kareem,Abdul-Jabbar,LAL,1987,80,28:51:00,6,11.29,0,0.01,2.56,3.36,1.48,4.5,5.98,1.69,0.6,1.15,1.99,2.7,14.56,0.532,0,0.762
James,Worthy,LAL,1987,75,35:24:00,8.23,15.48,0.03,0.21,3.23,4.05,1.72,3.27,4.99,3.85,0.96,0.73,2.07,2.33,19.71,0.531,0.125,0.796
Xavier,McDaniel,SEA,1987,78,34:39:00,8.81,18.01,0.18,0.64,3.6,5.06,2.64,4,6.64,3.37,1.23,0.67,2.86,2.95,21.4,0.489,0.28,0.711
Mark,Aguirre,DAL,1987,77,33:53:00,9.69,20.4,0.68,2.23,5.04,6.55,2.36,3.27,5.64,3.61,0.91,0.74,2.64,2.9,25.09,0.475,0.302,0.77
Alvin,Robertson,SAS,1987,82,36:19:00,7.99,17.17,0.33,1.16,3.33,4.45,2.01,4.06,6.07,6.79,2.96,0.84,3.06,3.66,19.63,0.465,0.284,0.748
James,Donaldson,DAL,1987,81,31:08:00,2.62,4.69,0,0,1.81,2.33,3.05,6.27,9.32,0.81,0.49,1.28,1.4,2.16,7.05,0.558,0,0.778
John,Stockton,UTA,1988,82,38:40:00,6.06,11.26,0.2,0.8,4.76,5.51,1.01,2.01,3.02,13.63,3.21,0.17,3.76,2.94,17.07,0.538,0.242,0.863
Alex,English,DEN,1988,82,36:27:00,11.27,22.94,0.02,0.1,3.96,4.62,1.8,2.17,3.98,4.67,0.8,0.15,2.41,2.12,26.52,0.491,0.25,0.858
Karl,Malone,UTA,1988,80,39:04:00,10.11,19.49,0.06,0.2,8.79,11.48,3.24,7.43,10.66,2.74,1.8,0.88,3.56,3.58,29.08,0.519,0.313,0.766
Dale,Ellis,SEA,1988,82,38:54:00,10.45,20.85,1.98,4.13,4.6,5.63,1.9,2.27,4.17,2,1.32,0.27,2.66,2.4,27.48,0.501,0.478,0.816
Hakeem,Olajuwon,HOU,1988,82,36:52:00,9.63,18.98,0,0.12,5.54,7.95,4.12,9.35,13.48,1.82,2.6,3.44,3.35,4.01,24.8,0.508,0,0.696
Clyde,Drexler,POR,1988,78,39:16:00,10.63,21.44,0.35,1.33,5.62,7.03,3.71,4.18,7.88,5.77,2.73,0.69,3.21,3.45,27.22,0.496,0.26,0.799
James,Worthy,LAL,1988,81,36:32:00,8.67,15.83,0.02,0.28,3.1,3.96,2.09,3.95,6.04,3.56,1.33,0.69,2.25,2.16,20.46,0.548,0.087,0.782
Tom,Chambers,PHO,1988,81,37:03:00,9.56,20.28,0.35,1.06,6.28,7.38,1.77,6.68,8.44,2.85,1.07,0.68,2.85,3.35,25.74,0.471,0.326,0.851
Chris,Mullin,GSW,1988,82,37:43:00,10.12,19.88,0.28,1.22,6.01,6.74,1.85,4.04,5.89,5.06,2.15,0.48,3.61,2.17,26.54,0.509,0.23,0.892
Kareem,Abdul-Jabbar,LAL,1988,74,22:54:00,4.23,8.91,0,0.04,1.65,2.23,1.39,3.12,4.51,1,0.51,1.15,1.28,2.65,10.11,0.475,0,0.739
Mark,Eaton,UTA,1988,82,35:32:00,2.29,4.96,0,0,1.61,2.44,2.77,7.51,10.28,1.01,0.49,3.84,1.73,3.54,6.2,0.462,0,0.66
Kevin,Duckworth,POR,1988,79,33:41:00,7.01,14.7,0,0.03,4.1,5.42,3.11,4.92,8.04,0.76,0.71,0.62,2.53,3.8,18.13,0.477,0,0.757
Michael,Jordan,CHI,1988,81,40:11:00,11.93,22.16,0.33,1.21,8.32,9.79,1.84,6.21,8.05,8.02,2.89,0.8,3.58,3.05,32.51,0.538,0.276,0.85
Isiah,Thomas,DET,1988,80,36:33:00,7.11,15.34,0.41,1.51,3.59,4.39,0.61,2.8,3.41,8.29,1.66,0.25,3.73,2.61,18.23,0.464,0.273,0.818
Charles,Barkley,PHI,1988,79,39:05:00,8.86,15.29,0.44,2.05,7.62,10.11,5.1,7.38,12.48,4.11,1.59,0.85,3.22,3.3,25.78,0.579,0.216,0.753
Moses,Malone,ATL,1988,81,35:31:00,6.64,13.53,0,0.15,6.93,8.78,4.77,7.04,11.8,1.38,0.98,1.23,3.02,1.9,20.21,0.491,0,0.789
Dominique,Wilkins,ATL,1988,80,37:27:00,10.18,21.95,0.36,1.31,5.53,6.55,3.2,3.71,6.91,2.64,1.46,0.65,2.26,1.73,26.24,0.464,0.276,0.844
Mark,Price,CLE,1988,75,36:22:00,7.05,13.41,1.24,2.81,3.51,3.89,0.64,2.37,3.01,8.41,1.53,0.09,2.83,1.31,18.85,0.526,0.441,0.901
Terry,Cummings,MIL,1988,80,35:18:00,9.13,19.54,0.09,0.19,4.53,5.75,3.51,4.61,8.13,2.48,1.33,0.9,2.51,3.31,22.86,0.467,0.467,0.787
Larry,Nance,CLE,1988,73,34:36:00,6.79,12.6,0,0.05,3.66,4.58,2.14,5.82,7.96,2.18,0.78,2.82,1.6,2.55,17.25,0.539,0,0.799
Patrick,Ewing,NYK,1988,80,36:12:00,9.09,16.03,0,0.08,4.51,6.05,2.66,6.59,9.25,2.35,1.46,3.51,3.33,3.89,22.69,0.567,0,0.746
Kevin,McHale,BOS,1988,78,36:52:00,8.47,15.53,0,0.05,5.59,6.83,2.86,5.31,8.17,2.21,0.33,1.24,2.51,2.86,22.54,0.546,0,0.818
Mark,Jackson,NYK,1988,72,34:24:00,6.65,14.24,1.13,3.33,2.5,3.58,1.47,3.26,4.74,8.6,1.93,0.1,3.14,2.26,16.93,0.467,0.337,0.698
Brad,Daugherty,CLE,1988,78,36:10:00,6.97,12.97,0.01,0.04,4.95,6.72,2.14,7.06,9.21,3.65,0.81,0.51,2.95,2.24,18.91,0.538,0.333,0.737
Michael,Jordan,CHI,1989,82,38:59:00,12.61,23.95,1.12,2.99,7.23,8.52,1.74,5.15,6.89,6.33,2.77,0.66,3.01,2.94,33.57,0.526,0.376,0.848
Isiah,Thomas,DET,1989,81,36:57:00,7.15,16.32,0.52,1.68,3.6,4.65,0.91,2.89,3.8,9.44,1.72,0.23,3.98,2.54,18.42,0.438,0.309,0.775
Patrick,Ewing,NYK,1989,82,38:35:00,11.24,20.4,0.01,0.05,6.12,7.9,2.87,8.02,10.89,2.22,0.95,3.99,3.39,3.96,28.62,0.551,0.25,0.775
Larry,Bird,BOS,1989,75,39:15:00,9.57,20.23,0.87,2.6,4.25,4.57,1.2,8.29,9.49,7.49,1.41,0.81,3.24,2.31,24.27,0.473,0.333,0.93
Charles,Barkley,PHI,1989,79,39:00:00,8.94,14.9,0.25,1.16,7.05,9.42,4.57,6.94,11.51,3.89,1.87,0.63,3.08,3.16,25.18,0.6,0.217,0.749
Robert,Parish,BOS,1989,79,30:19:00,6.39,11.03,0,0,2.95,3.95,3.28,6.8,10.08,1.3,0.48,0.87,2.14,2.39,15.73,0.58,0,0.747
Kevin,McHale,BOS,1989,82,33:11:00,7.9,14.4,0.28,0.84,4.79,5.37,2.45,5.8,8.26,2.1,0.37,1.91,2.23,3.05,20.88,0.549,0.333,0.893
Joe,Dumars,DET,1989,75,34:22:00,6.77,14.11,0.29,0.73,3.96,4.4,0.8,2.03,2.83,4.91,0.84,0.03,1.93,1.72,17.8,0.48,0.4,0.9
Dominique,Wilkins,ATL,1989,80,36:06:00,10.13,20.9,0.74,2.29,5.74,7.11,2.71,3.8,6.51,2.5,1.58,0.59,2.18,1.76,26.73,0.484,0.322,0.807
Reggie,Miller,IND,1989,82,38:55:00,8.06,15.7,1.83,4.41,6.63,7.65,1.16,2.44,3.6,3.79,1.34,0.22,2.71,2.13,24.59,0.514,0.414,0.868
Scottie,Pippen,CHI,1989,82,38:23:00,6.85,14.02,0.34,1.37,2.43,3.6,1.83,4.84,6.67,5.41,2.57,1.23,3.39,3.63,16.48,0.489,0.25,0.675
Dennis,Rodman,DET,1989,82,28:59:00,3.51,6.05,0.01,0.11,1.73,2.65,4.1,5.56,9.66,0.88,0.63,0.73,1.1,3.37,8.77,0.581,0.111,0.654
Hakeem,Olajuwon,HOU,1989,82,38:05:00,9.83,19.62,0.01,0.07,4.66,6.54,3.65,10.37,14.01,2.83,2.12,4.59,3.85,3.83,24.33,0.501,0.167,0.713
Magic,Johnson,LAL,1989,79,37:10:00,6.91,14.41,1.34,3.49,7.18,8.06,1.62,4.99,6.61,11.48,1.67,0.43,3.66,2.11,22.34,0.48,0.384,0.89
James,Worthy,LAL,1989,80,37:00:00,8.89,16.23,0.19,0.61,3.1,3.96,2,3.98,5.98,3.6,1.24,0.61,2,2.38,21.06,0.548,0.306,0.782
John,Stockton,UTA,1989,78,37:22:00,6.05,11.77,0.6,1.45,4.54,5.54,0.73,1.91,2.64,14.54,2.65,0.23,3.49,2.99,17.24,0.514,0.416,0.819
A.C.,Green,LAL,1989,82,33:02:00,4.7,9.83,0.16,0.56,3.39,4.51,3.2,5.49,8.68,1.1,0.8,0.61,1.41,2.52,12.94,0.478,0.283,0.751
David,Robinson,SAS,1989,82,36:36:00,8.41,15.85,0,0.02,7.48,10.21,3.7,8.29,11.99,2,1.68,3.89,3.13,3.16,24.3,0.531,0,0.732
Lafayette,Lever,DEN,1989,79,35:50:00,7.19,16.24,0.46,1.1,3.43,4.27,2.91,6.38,9.29,6.54,2.13,0.16,1.97,2.18,18.27,0.443,0.414,0.804
Tom,Chambers,PHO,1989,81,37:36:00,10,19.96,0.3,1.06,6.88,7.99,1.49,5.56,7.05,2.35,1.09,0.58,2.69,3.21,27.17,0.501,0.279,0.861
Rolando,Blackman,DAL,1989,80,36:40:00,7.83,15.7,0.16,0.54,3.59,4.25,1.1,2.4,3.5,3.61,0.96,0.26,2.18,1.6,19.4,0.498,0.302,0.844
Clyde,Drexler,POR,1989,73,36:45:00,9.18,18.59,0.41,1.45,4.56,5.89,2.85,4.1,6.95,5.92,1.99,0.7,2.62,3.04,23.33,0.494,0.283,0.774
Chris,Mullin,GSW,1989,78,36:16:00,8.74,16.31,1.12,3,6.47,7.28,1.67,4.27,5.94,4.09,1.58,0.58,3.06,1.82,25.08,0.536,0.372,0.889
Kevin,Johnson,PHO,1989,74,37:35:00,7.81,15.66,0.11,0.55,6.77,8.08,0.57,3.08,3.65,11.43,1.28,0.19,3.55,1.93,22.5,0.499,0.195,0.838
Michael,Jordan,CHI,1990,82,37:00:00,12.07,22.4,0.35,1.13,6.96,8.18,1.44,4.56,6,5.52,2.72,1.01,2.46,2.79,31.46,0.539,0.312,0.851
Charles,Barkley,PHI,1990,67,37:17:00,9.93,17.42,0.66,2.31,7.09,9.82,3.85,6.3,10.15,4.24,1.64,0.49,3.13,2.58,27.6,0.57,0.284,0.722
Patrick,Ewing,NYK,1990,81,38:19:00,10.43,20.31,0,0.07,5.73,7.69,2.4,8.78,11.17,3.01,0.99,3.19,3.59,3.54,26.59,0.514,0,0.745
Bernard,King,WSB,1990,64,37:30:00,11.14,23.61,0.13,0.58,5.98,7.58,1.78,3.2,4.98,4.56,0.88,0.25,3.98,2.92,28.39,0.472,0.216,0.79
Joe,Dumars,DET,1990,80,38:04:00,7.78,16.15,0.18,0.56,4.64,5.21,0.78,1.56,2.34,5.54,1.11,0.09,2.36,1.69,20.36,0.481,0.311,0.89
Dominique,Wilkins,ATL,1990,81,38:00:00,9.51,20.25,1.05,3.07,5.88,7.09,3.22,5.81,9.04,3.27,1.52,0.8,2.48,1.93,25.94,0.47,0.341,0.829
Ricky,Pierce,MIL,1990,78,27:44:00,7.19,14.82,0.59,1.49,5.51,6.04,0.86,1.59,2.45,2.15,0.77,0.17,1.88,2.18,20.49,0.485,0.397,0.913
Hersey,Hawkins,PHI,1990,80,38:52:00,7.38,15.64,1.35,3.38,5.99,6.88,0.6,3.28,3.88,3.74,2.23,0.49,2.66,2.28,22.09,0.472,0.4,0.871
Kevin,McHale,BOS,1990,68,30:23:00,7.41,13.41,0.22,0.54,3.35,4.04,2.13,4.93,7.06,1.85,0.37,2.15,2.06,2.85,18.4,0.553,0.405,0.829
Brad,Daugherty,CLE,1990,76,38:45:00,7.96,15.2,0,0.04,5.72,7.62,2.33,8.59,10.92,3.33,0.97,0.61,2.78,2.51,21.64,0.524,0,0.751
Alvin,Robertson,MIL,1990,81,32:04:00,5.41,11.16,0.28,0.78,2.46,3.25,2.36,3.31,5.67,5.48,3.04,0.2,2.62,3.37,13.56,0.485,0.365,0.757
Robert,Parish,BOS,1990,81,30:08:00,5.99,10.01,0,0.01,2.93,3.81,3.35,7.22,10.57,0.81,0.81,1.27,1.89,2.43,14.9,0.598,0,0.767
Karl,Malone,UTA,1990,82,40:16:00,10.33,19.61,0.05,0.17,8.34,10.83,2.88,8.91,11.79,3.29,1.09,0.96,2.98,3.27,29.05,0.527,0.286,0.77
Magic,Johnson,LAL,1990,79,37:07:00,5.9,12.35,1.01,3.16,6.57,7.25,1.33,5.65,6.97,12.52,1.29,0.22,3.97,1.9,19.38,0.477,0.32,0.906
Chris,Mullin,GSW,1990,82,40:25:00,9.48,17.67,0.49,1.62,6.26,7.07,1.72,3.68,5.4,4.01,2.11,0.77,2.99,2.15,25.7,0.536,0.301,0.884
Kevin,Johnson,PHO,1990,77,36:00:00,7.68,14.87,0.12,0.57,6.74,8,0.7,2.82,3.52,10.14,2.12,0.14,3.49,2.26,22.21,0.516,0.205,0.843
David,Robinson,SAS,1990,82,37:44:00,9.2,16.66,0.01,0.09,7.22,9.48,4.09,8.88,12.96,2.54,1.55,3.9,3.29,3.22,25.62,0.552,0.143,0.762
James,Worthy,LAL,1990,78,38:33:00,9.18,18.65,0.33,1.15,2.72,3.41,1.37,3.19,4.56,3.53,1.33,0.45,1.63,1.5,21.41,0.492,0.289,0.797
Clyde,Drexler,POR,1990,82,34:46:00,7.87,16.32,0.74,2.33,5.07,6.39,2.59,4.07,6.66,6.01,1.76,0.73,2.83,2.76,21.55,0.482,0.319,0.794
Kevin,Duckworth,POR,1990,81,31:00:00,6.43,13.38,0,0.02,2.96,3.84,2.19,4.37,6.56,1.1,0.41,0.42,2.3,3.1,15.83,0.481,0,0.772
Tom,Chambers,PHO,1990,76,32:33:00,7.32,16.72,0.26,0.96,4.99,6.04,1.37,5.08,6.45,2.55,0.86,0.68,2.33,3.09,19.88,0.437,0.274,0.826
Terry,Porter,POR,1990,81,32:54:00,6,11.65,1.6,3.86,3.44,4.19,0.64,2.84,3.48,8.01,1.95,0.15,2.33,1.86,17.05,0.515,0.415,0.823
Tim,Hardaway,GSW,1990,82,39:12:00,9.01,18.91,1.18,3.07,3.73,4.65,1.06,2.99,4.05,9.67,2.61,0.15,3.29,2.78,22.94,0.476,0.385,0.803
John,Stockton,UTA,1990,82,37:50:00,6.05,11.93,0.71,2.05,4.43,5.29,0.56,2.33,2.89,14.2,2.85,0.2,3.63,2.84,17.23,0.507,0.345,0.836
Magic,Johnson,LAL,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clyde,Drexler,POR,1991,76,36:11:00,9.13,19.42,1.5,4.45,5.28,6.64,2.18,4.39,6.58,6.74,1.82,0.92,3.16,3.01,25.04,0.47,0.337,0.794
Chris,Mullin,GSW,1991,81,41:18:00,10.25,19.56,0.79,2.16,4.32,5.19,1.57,3.99,5.56,3.53,2.14,0.77,2.49,2.11,25.6,0.524,0.366,0.833
Karl,Malone,UTA,1991,81,37:42:00,9.85,18.72,0.04,0.21,8.31,10.68,2.78,8.44,11.22,2.98,1.33,0.63,3.06,2.79,28.05,0.526,0.176,0.778
David,Robinson,SAS,1991,68,37:42:00,8.71,15.79,0.01,0.12,5.78,8.25,3.84,8.35,12.19,2.66,2.32,4.49,2.68,3.22,23.21,0.551,0.125,0.701
Jeff,Hornacek,PHO,1991,81,37:56:00,7.84,15.31,1.02,2.33,3.44,3.89,1.31,3.72,5.02,5.07,1.95,0.38,2.1,2.69,20.15,0.512,0.439,0.886
Tim,Hardaway,GSW,1991,81,41:08:00,9.06,19.65,1.57,4.64,3.68,4.8,1,2.83,3.83,9.96,2.02,0.16,3.3,2.57,23.37,0.461,0.338,0.766
Hakeem,Olajuwon,HOU,1991,70,37:39:00,8.44,16.81,0,0.01,4.69,6.11,3.51,8.56,12.07,2.24,1.81,4.34,2.67,3.76,21.57,0.502,0,0.766
John,Stockton,UTA,1991,82,36:36:00,5.52,11.45,1.01,2.49,3.76,4.46,0.83,2.46,3.29,13.73,2.98,0.27,3.49,2.85,15.82,0.482,0.407,0.842
James,Worthy,LAL,1991,54,39:02:00,8.33,18.65,0.17,0.8,3.07,3.78,1.81,3.83,5.65,4.67,1.41,0.43,2.35,1.65,19.91,0.447,0.209,0.814
Dan,Majerle,PHO,1991,82,34:47:00,6.72,14.06,1.06,2.78,2.79,3.7,1.8,4.09,5.89,3.34,1.6,0.52,1.24,1.93,17.29,0.478,0.382,0.756
Dikembe,Mutombo,DEN,1991,71,38:15:00,6.03,12.24,0,0,4.52,7.04,4.45,7.8,12.25,2.2,0.61,2.96,3.55,3.85,16.58,0.493,0,0.642
Otis,Thorpe,HOU,1991,82,37:16:00,6.8,11.5,0,0.09,3.71,5.65,3.48,7.04,10.51,3.05,0.63,0.45,2.89,3.74,17.32,0.592,0,0.657
Michael,Jordan,CHI,1991,80,38:46:00,11.79,22.73,0.34,1.25,6.14,7.38,1.14,5.25,6.39,6.11,2.28,0.94,2.5,2.51,30.05,0.519,0.27,0.832
Isiah,Thomas,DET,1991,78,37:24:00,7.23,16.21,0.32,1.1,3.74,4.85,0.87,2.29,3.17,7.18,1.51,0.19,3.23,2.49,18.53,0.446,0.291,0.772
Charles,Barkley,PHI,1991,75,38:24:00,8.29,15.01,0.43,1.83,6.05,8.71,3.61,7.45,11.07,4.11,1.81,0.59,3.13,2.61,23.07,0.552,0.234,0.695
Scottie,Pippen,CHI,1991,82,38:35:00,8.38,16.57,0.2,0.98,4.02,5.29,2.26,5.43,7.68,6.98,1.89,1.13,3.09,2.95,20.98,0.506,0.2,0.76
Patrick,Ewing,NYK,1991,82,38:24:00,9.71,18.6,0.01,0.07,4.6,6.23,2.78,8.45,11.23,1.9,1.07,2.99,2.55,3.38,24.02,0.522,0.167,0.738
Dennis,Rodman,DET,1991,82,40:15:00,4.17,7.74,0.39,1.23,1.02,1.71,6.38,12.28,18.66,2.33,0.83,0.85,1.71,3.02,9.76,0.539,0.317,0.6
Joe,Dumars,DET,1991,82,38:55:00,7.16,15.99,0.6,1.46,5.02,5.79,1,1.29,2.29,4.57,0.87,0.15,2.35,1.77,19.94,0.448,0.408,0.867
Reggie,Lewis,BOS,1991,82,37:26:00,8.57,17.04,0.06,0.26,3.56,4.18,1.43,3.38,4.8,2.26,1.52,1.28,1.66,3.15,20.77,0.503,0.238,0.851
Brad,Daugherty,CLE,1991,73,36:12:00,7.89,13.84,0,0.03,5.67,7.3,2.62,7.79,10.41,3.59,0.89,1.07,2.53,2.6,21.45,0.57,0,0.777
Mark,Price,CLE,1991,72,29:41:00,6.08,12.46,1.4,3.63,3.75,3.96,0.53,1.88,2.4,7.43,1.31,0.17,2.21,1.57,17.32,0.488,0.387,0.947
Michael,Adams,WSB,1991,78,35:50:00,6.22,15.81,1.6,4.95,4.01,4.62,0.74,3.23,3.97,7.62,1.86,0.12,2.72,2.08,18.05,0.393,0.324,0.869
Kevin,Willis,ATL,1991,81,36:34:00,7.3,15.11,0.07,0.46,3.6,4.48,5.16,10.37,15.53,2.14,0.89,0.67,2.43,2.75,18.27,0.483,0.162,0.804
Karl,Malone,UTA,1992,82,37:47:00,9.72,17.6,0.05,0.24,7.55,10.2,2.77,8.44,11.21,3.76,1.51,1.01,2.93,3.18,27.04,0.552,0.2,0.74
Charles,Barkley,PHO,1992,76,37:37:00,9.42,18.11,0.88,2.89,5.86,7.66,3.12,9.09,12.21,5.07,1.57,0.97,3.07,2.59,25.58,0.52,0.305,0.765
John,Stockton,UTA,1992,82,34:54:00,5.33,10.96,0.88,2.28,3.57,4.48,0.78,2.11,2.89,12.04,2.43,0.26,3.24,2.73,15.11,0.486,0.385,0.798
David,Robinson,SAS,1992,82,39:09:00,8.24,16.44,0.04,0.21,6.84,9.34,2.79,8.87,11.66,3.67,1.55,3.22,2.94,2.91,23.37,0.501,0.176,0.732
Clyde,Drexler,POR,1992,49,34:06:00,7.14,16.65,0.63,2.71,5,5.96,2.57,3.73,6.31,5.67,1.94,0.76,2.35,3.24,19.92,0.429,0.233,0.839
Dan,Majerle,PHO,1992,82,39:00:00,6.21,13.37,2.04,5.34,2.48,3.18,1.46,3.21,4.67,3.79,1.68,0.4,1.62,2.2,16.93,0.464,0.381,0.778
